position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
74,2,5,7,7,7,8,9,13,16,17,20,23,25,27,28,28,30,31,32,34
75,4,5,5,5,5,6,8,9,11,15,18,18,21,24,25,26,28,28,29,31
76,0,1,1,2,2,3,5,7,9,10,13,14,16,17,18,19,21,24,25,25
77,2,3,3,6,6,6,9,10,14,16,17,19,24,25,25,28,29,31,33,35
78,2,3,3,3,4,4,6,8,11,13,14,16,18,22,24,26,26,28,30,30
79,2,2,3,5,5,5,6,6,6,7,8,10,10,11,12,13,16,21,24,24
80,2,3,4,5,6,9,11,13,14,14,14,19,20,21,25,27,32,36,36,38
81,1,2,3,6,6,7,7,7,9,10,13,16,22,24,26,29,30,32,34,38
82,3,3,3,3,5,6,8,9,13,18,18,18,18,21,23,28,32,36,36,38
83,3,4,4,5,5,5,5,6,9,10,12,14,16,18,20,22,24,27,29,30
84,0,1,1,3,3,3,4,5,5,6,9,11,12,16,19,20,21,21,21,24
85,1,2,3,4,7,8,9,11,11,12,13,17,17,19,20,21,22,23,26,27
86,0,1,1,2,3,4,5,5,6,9,10,11,14,15,16,18,20,22,22,25
87,2,3,3,3,3,3,5,5,6,8,9,10,11,13,14,15,17,18,23,28
88,2,2,2,2,3,3,3,3,5,5,6,9,12,15,17,19,20,23,25,26
89,2,3,3,3,3,3,3,5,5,6,6,9,10,10,11,14,19,20,23,24
90,1,1,3,3,4,5,5,5,6,8,8,9,10,12,13,14,16,20,20,23
91,1,2,2,2,3,3,4,6,6,8,9,11,12,15,19,21,23,24,27,29
92,1,1,3,4,6,7,9,9,9,10,10,12,14,16,17,17,20,21,23,24
93,1,1,2,5,6,6,7,8,8,10,12,14,17,20,22,22,26,29,30,30
94,1,1,2,3,3,4,4,5,8,9,13,17,18,20,22,23,24,29,34,37
95,2,4,5,5,6,10,11,11,11,12,14,16,19,23,29,32,36,39,41,43
96,3,3,3,4,4,4,6,9,10,10,11,12,15,16,18,23,24,27,31,35
97,1,2,3,3,3,3,4,4,4,4,4,5,5,5,9,12,13,15,19,21
98,1,2,2,2,3,3,6,7,7,9,11,12,12,13,14,18,19,19,22,22
99,2,3,4,5,5,5,7,10,11,12,13,13,14,14,16,17,21,26,29,30
