position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
0,6,12,20,29,38,41,60,82,100,117,131,151,182,200,229,256,290,327,372,410
1,8,15,20,30,38,53,66,78,97,131,160,189,212,241,264,289,322,357,391,426
2,4,11,19,27,42,55,65,82,102,130,151,181,214,247,285,317,350,392,417,447
3,7,12,19,26,36,48,77,97,117,135,156,176,213,238,263,286,319,359,403,451
4,8,14,24,33,42,51,66,81,104,133,156,185,207,228,257,288,319,353,376,419
5,6,15,22,29,36,44,57,73,88,102,116,133,146,156,168,187,213,228,253,285
6,5,8,10,15,17,23,32,37,52,61,78,91,107,120,136,148,169,179,196,217
7,5,7,8,10,11,14,18,23,24,31,35,41,57,66,77,94,102,113,128,155
8,4,8,10,12,16,18,23,24,28,34,42,47,55,63,75,88,97,103,116,124
9,1,3,4,6,9,12,20,27,36,45,58,69,83,88,98,103,112,127,142,154
10,2,2,2,4,9,10,13,13,20,27,34,38,47,59,67,73,90,106,123,139
11,2,5,8,10,11,16,19,26,31,35,41,48,55,63,71,83,93,105,119,135
12,3,3,5,8,11,15,23,27,35,46,52,62,67,74,82,88,100,111,123,129
13,2,3,3,6,9,12,14,18,25,28,33,39,49,52,56,65,78,87,100,113
14,1,3,4,5,8,13,16,22,31,37,44,50,64,76,89,100,109,119,131,144
15,4,6,11,17,21,25,30,37,46,53,61,68,80,89,98,109,120,128,140,150
16,5,7,10,13,18,20,22,27,34,41,55,65,68,75,84,91,100,114,122,136
17,2,3,4,4,6,8,10,15,17,20,23,29,44,54,57,63,71,87,92,107
18,2,4,5,7,10,14,18,19,23,29,32,39,40,49,51,55,62,68,72,84
19,1,2,4,5,6,10,16,19,23,28,35,39,50,57,64,71,81,91,101,109
20,2,3,5,7,10,14,27,30,38,50,57,64,75,83,97,107,113,117,126,133
21,3,5,8,10,13,17,20,26,27,32,37,40,45,53,61,66,77,101,113,127
22,4,5,5,5,7,8,9,13,17,18,24,29,34,36,42,48,56,67,75,86
23,1,2,3,6,9,12,16,24,27,30,31,34,39,41,46,50,56,61,72,83
24,1,1,1,1,1,7,8,11,11,16,17,20,21,22,25,30,39,45,55,65
25,3,4,5,5,6,8,11,16,23,24,26,28,29,32,33,39,50,62,70,80
26,1,1,2,2,2,7,10,13,18,22,22,29,34,36,42,48,60,64,71,75
27,1,1,1,1,1,5,7,8,10,11,13,16,21,22,23,30,36,46,49,54
28,1,2,3,5,9,11,13,13,16,22,23,26,31,33,37,46,53,68,77,87
29,3,5,11,12,12,12,17,19,26,37,43,47,51,56,59,63,74,88,94,101
30,2,4,4,4,4,6,11,16,17,23,24,29,35,39,42,48,57,63,66,71
31,1,1,2,3,3,4,6,6,8,15,17,20,30,40,50,52,60,70,85,93
32,3,5,6,7,9,10,23,32,36,46,48,51,60,68,74,81,90,95,102,107
33,1,1,1,1,2,3,8,12,17,21,23,26,32,36,42,49,54,59,67,78
34,2,3,4,7,11,13,15,20,21,24,27,29,31,34,36,44,47,53,62,75
35,5,5,5,5,6,9,13,16,20,25,30,36,45,53,57,59,75,83,96,104
36,4,5,6,8,10,10,12,16,18,22,26,30,36,40,50,55,65,75,83,99
37,5,6,7,9,10,10,11,15,18,22,24,33,39,47,49,51,61,64,72,77
38,1,2,6,7,11,15,20,24,28,34,35,38,40,45,50,57,61,69,76,79
39,1,1,4,4,4,5,7,9,11,15,17,21,27,29,33,37,44,51,60,68
40,2,6,7,8,9,10,11,13,13,17,18,19,26,28,32,35,40,44,46,54
41,4,6,7,8,8,8,8,9,16,18,23,31,39,45,51,55,60,65,70,73
42,3,3,4,8,9,11,15,24,28,33,39,45,55,61,63,69,77,86,92,98
43,2,4,6,6,8,8,14,18,19,22,29,32,38,46,51,61,66,72,82,92
44,3,3,5,6,10,12,15,19,20,21,26,33,36,40,43,51,58,66,70,80
45,2,3,4,6,7,12,17,19,25,28,31,38,41,49,60,67,78,88,95,100
46,1,2,2,2,3,8,10,15,21,27,29,37,42,45,47,49,53,56,65,73
47,3,3,3,3,3,3,8,10,13,18,25,29,34,38,40,45,51,58,65,70
48,4,4,5,8,8,13,19,23,33,38,43,52,56,64,70,76,80,86,89,98
49,2,3,4,7,8,9,21,26,35,39,48,53,57,62,72,80,94,98,107,120
50,1,3,4,5,7,9,11,13,14,17,23,24,27,33,39,42,48,56,62,68
51,5,6,7,8,11,11,12,13,14,17,19,20,24,26,28,32,36,38,43,55
52,2,3,3,4,6,6,8,9,14,16,20,23,25,29,30,35,41,46,58,64
53,2,2,3,4,4,4,6,9,13,22,26,30,31,34,36,43,46,49,52,57
54,2,3,4,5,5,5,9,13,17,18,20,25,30,36,40,45,52,61,67,72
55,4,5,6,8,11,12,18,21,24,27,32,34,39,44,52,60,66,73,79,87
56,4,4,4,4,4,8,9,12,15,19,23,25,33,38,43,49,53,61,68,80
57,0,2,2,2,4,9,14,20,24,25,32,37,46,49,51,55,62,64,76,79
58,2,2,4,8,10,14,19,21,25,28,34,35,38,43,46,50,53,59,67,70
59,1,1,1,1,1,3,4,6,10,13,16,20,26,31,35,47,52,58,59,63
60,3,3,4,5,8,9,9,12,17,20,24,26,27,29,31,35,42,50,56,67
61,2,3,6,7,7,7,10,13,13,16,16,21,23,26,28,31,33,34,40,46
62,3,4,5,5,9,11,13,15,19,21,22,23,29,33,39,42,47,52,55,60
63,2,2,4,4,5,6,11,16,19,29,32,34,37,42,44,50,55,62,63,68
64,2,4,8,9,11,12,14,16,19,22,28,32,33,40,43,46,51,59,67,74
65,2,3,3,4,6,9,12,14,19,25,39,45,52,55,56,63,68,74,81,90
66,1,3,5,7,9,9,13,13,17,20,24,28,29,33,37,38,44,50,57,67
67,3,5,6,6,6,9,13,20,26,33,36,43,46,50,56,60,63,67,71,78
68,2,3,5,6,6,8,12,13,17,22,28,37,39,45,49,57,62,69,73,81
69,2,5,9,9,10,11,16,21,28,36,42,44,49,56,62,67,70,75,77,80
70,5,6,6,7,10,11,17,20,25,29,33,36,41,44,50,55,59,68,80,86
71,3,4,7,9,12,15,18,19,20,21,26,32,36,36,39,46,55,61,69,77
72,3,6,11,18,21,22,24,24,29,32,36,43,48,54,57,60,63,71,74,79
73,3,4,5,6,9,12,16,24,26,29,34,40,46,47,55,60,70,76,86,90
74,4,5,7,9,12,15,20,25,29,33,37,44,49,54,62,66,71,82,85,88
75,2,3,3,4,5,5,6,7,10,15,18,20,24,27,33,38,41,45,46,49
76,1,1,1,2,2,4,6,10,12,16,18,19,24,25,30,34,35,43,48,54
