position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
0,1,3,4,5,7,10,11,12,13,14,16,17,17,18,20,20,21,25,26,29
1,1,1,1,3,5,6,7,9,10,10,11,11,13,14,17,19,23,26,31,32
2,1,2,5,5,6,7,8,10,11,13,13,17,21,24,29,30,31,32,36,38
3,1,1,2,3,5,6,9,11,13,13,14,15,18,18,19,20,25,28,30,31
4,2,2,4,4,7,9,10,11,12,12,13,13,14,17,18,18,19,23,26,31
5,1,2,3,4,4,6,7,9,12,15,15,15,17,17,19,19,21,23,24,25
6,2,3,3,3,4,4,4,4,7,7,8,9,9,10,10,11,12,12,14,14
7,2,2,2,3,3,3,4,6,7,7,7,10,12,12,13,14,14,17,19,19
8,3,3,3,5,5,5,6,7,8,10,11,13,13,13,13,14,15,17,18,22
9,1,2,2,2,2,3,3,4,5,5,6,6,8,10,12,15,15,17,20,23
10,1,2,4,6,6,6,8,8,9,11,13,14,15,15,17,23,24,27,29,30
11,1,1,1,2,5,7,7,8,10,11,12,13,13,14,16,17,18,19,22,26
12,2,3,5,5,8,8,9,10,12,13,13,13,13,14,19,23,25,27,28,28
13,3,3,4,4,6,9,11,13,13,14,15,15,16,20,20,22,22,23,24,27
14,4,4,4,4,5,5,7,8,10,10,13,15,17,22,22,23,27,29,32,32
15,5,6,6,6,7,8,8,11,11,13,16,17,17,20,21,22,26,28,28,31
16,2,3,4,4,4,5,9,9,9,9,11,16,17,20,20,21,22,25,29,34
17,3,3,3,3,4,5,7,9,12,15,15,21,24,25,31,33,34,37,41,42
18,1,1,4,4,5,5,6,7,11,12,14,19,22,27,34,36,38,40,42,44
19,1,2,2,5,8,9,10,11,15,19,26,27,30,35,35,36,37,40,44,45
20,2,2,2,2,3,5,6,8,9,10,12,13,15,18,22,25,25,26,28,30
21,1,1,1,1,1,2,3,4,5,9,11,16,19,19,21,25,29,31,32,34
22,3,3,3,4,5,5,6,8,9,14,18,20,20,22,25,25,27,29,32,36
23,1,2,3,6,10,11,11,11,12,13,14,18,18,19,20,23,24,28,31,36
24,3,4,4,5,8,8,9,10,10,14,16,18,22,22,24,28,31,37,46,53
25,2,3,3,3,11,12,16,23,26,29,32,34,35,40,42,44,47,49,52,52
26,1,1,4,5,6,8,10,12,14,17,20,20,23,24,29,32,38,40,44,46
27,1,2,3,5,7,9,11,12,12,13,15,19,21,21,22,22,22,25,28,31
28,2,3,4,6,6,6,7,7,9,11,13,13,19,21,23,25,26,30,33,37
29,3,3,7,7,9,11,13,16,19,23,26,28,29,32,34,37,39,43,44,48
30,4,6,7,8,9,11,12,13,15,16,16,17,18,18,20,22,25,26,27,27
31,2,2,2,7,9,10,10,10,10,11,12,14,15,16,16,18,19,23,25,28
32,2,2,3,4,4,4,7,7,10,13,15,16,22,22,23,23,26,27,30,30
33,3,3,3,3,6,7,8,9,10,14,16,18,21,24,25,28,30,30,31,33
34,2,3,3,3,5,6,8,12,14,17,18,18,18,20,22,22,23,24,26,29
35,3,3,4,5,6,8,10,11,12,15,17,19,21,23,23,23,24,24,28,29
36,2,4,6,7,10,11,13,15,15,18,19,21,22,23,26,28,29,31,31,35
37,1,1,2,6,8,11,13,13,14,16,19,23,26,29,32,35,36,40,45,49
38,3,3,5,8,8,9,12,14,16,17,21,23,26,30,33,38,38,39,42,43
39,2,3,4,7,9,10,10,10,10,14,16,18,22,24,27,27,31,34,36,41
40,3,4,6,7,10,13,15,16,19,23,26,27,28,28,29,31,33,34,37,41
41,6,6,8,10,10,12,13,13,14,16,17,18,18,19,20,21,25,28,31,35
42,4,5,6,6,6,7,8,10,11,11,14,15,17,19,21,23,25,25,28,31
43,3,3,5,6,6,7,9,11,11,11,11,12,16,19,20,24,25,27,32,33
44,3,4,5,6,7,9,9,9,9,9,9,11,13,17,21,22,27,31,34,35
45,4,4,4,7,7,7,8,11,12,14,15,17,17,19,20,23,25,28,32,36
46,2,2,3,6,8,9,12,13,17,17,20,21,23,28,29,32,38,40,44,48
47,3,5,5,6,7,9,15,18,19,22,26,33,36,43,46,51,52,55,57,60
48,2,3,5,6,8,9,9,9,9,13,13,17,18,20,21,24,27,27,28,34
49,4,4,4,4,7,10,11,12,16,19,19,20,25,27,30,33,34,37,42,43
50,3,4,4,4,8,8,9,10,11,16,18,20,22,23,25,28,32,35,40,40
51,2,3,4,7,9,10,10,11,12,12,16,16,18,20,21,23,26,27,27,28
52,2,2,3,6,8,9,9,11,13,15,18,19,21,22,24,29,32,35,36,42
53,2,4,4,4,5,8,10,13,14,18,20,26,27,30,32,33,36,39,43,44
54,1,1,2,5,8,12,13,13,13,15,17,20,22,24,28,30,33,35,39,44
55,2,2,2,5,6,6,6,8,9,11,13,16,20,24,25,27,28,28,30,32
56,3,3,3,7,7,7,10,13,15,17,21,24,28,29,34,39,40,41,43,44
57,2,2,2,5,6,7,8,9,11,12,14,19,21,27,31,34,37,41,42,51
58,2,3,3,3,3,7,7,7,9,10,10,14,17,19,21,26,30,32,36,39
59,2,2,2,3,4,4,5,5,7,9,10,11,13,17,18,18,20,21,24,29
60,1,2,3,3,3,4,6,9,12,14,18,21,26,31,34,36,37,43,43,45
61,4,6,6,7,9,9,12,12,12,19,20,22,31,36,41,46,51,53,60,63
62,2,4,5,8,10,12,14,15,15,18,24,27,30,33,36,39,45,48,48,49
63,0,0,0,1,3,4,6,6,9,12,15,17,20,23,27,30,31,34,36,40
64,2,4,7,7,11,11,12,12,15,16,17,20,21,21,21,23,25,26,27,33
65,1,2,2,2,2,2,3,5,6,7,10,15,16,17,19,21,27,33,36,40
66,2,3,4,5,5,6,8,10,10,12,15,20,22,25,26,31,34,34,38,41
67,4,4,5,5,6,9,11,13,16,18,19,20,21,22,26,29,32,34,37,37
68,1,4,4,4,5,6,9,9,14,15,17,20,25,28,28,30,33,38,41,46
69,1,2,3,3,5,8,8,10,12,14,15,17,21,21,22,25,26,27,29,30
70,2,3,3,4,8,9,13,18,22,23,24,26,32,35,38,43,45,45,51,55
71,1,2,3,3,3,4,5,5,5,6,7,9,11,13,16,19,24,25,27,31
72,3,4,5,7,7,7,10,10,10,11,11,13,15,16,19,22,25,27,32,33
73,2,2,2,3,6,7,9,11,11,12,13,14,18,19,25,27,29,32,34,37
74,2,3,3,3,7,7,9,11,11,13,15,17,18,18,18,23,26,30,32,35
75,3,5,7,7,7,7,8,11,12,13,13,16,21,25,26,27,30,33,35,38
76,1,1,2,4,5,5,7,12,13,15,18,21,22,26,29,30,34,35,39,43
77,3,5,6,7,10,11,12,14,14,15,16,16,18,20,22,24,27,34,38,43
78,5,5,5,5,6,7,7,9,10,12,14,15,19,20,22,26,29,33,35,36
79,3,5,5,6,7,9,10,11,11,14,18,20,21,21,23,24,28,30,35,40
80,2,2,3,3,4,6,10,12,14,16,16,20,21,25,29,32,33,37,37,41
81,1,1,2,2,4,8,10,12,14,15,17,18,19,21,21,26,27,27,28,28
82,1,3,5,5,5,5,6,9,9,10,11,11,12,13,15,15,16,19,20,24
83,1,1,2,2,3,3,5,8,10,10,10,12,13,15,15,17,21,24,26,28
84,1,3,3,4,6,6,6,8,8,8,8,9,9,11,11,12,14,17,19,22
85,2,2,3,5,5,5,5,5,6,8,9,10,13,16,16,21,27,30,36,40
86,1,1,1,1,3,5,6,7,8,10,14,17,18,20,23,25,30,34,35,39
87,1,1,3,5,5,7,7,7,8,11,15,20,22,24,26,29,33,36,39,44
88,2,4,6,8,9,10,13,15,16,18,20,21,27,31,32,35,39,45,47,48
89,1,4,6,8,11,11,11,13,15,18,19,22,23,27,31,32,35,38,39,43
90,3,5,5,6,8,9,10,12,15,18,21,23,25,27,30,33,39,43,47,52
91,2,6,7,8,13,18,19,25,26,28,33,38,40,46,53,56,65,66,70,70
92,1,2,5,6,9,11,14,17,20,22,25,28,29,33,36,45,47,51,54,56
93,5,6,7,8,9,12,16,17,19,20,21,24,25,28,30,32,33,36,39,41
94,3,4,4,5,6,7,8,8,11,12,13,17,18,19,20,24,27,30,32,36
95,2,2,2,2,4,6,8,8,11,14,15,15,16,16,16,16,18,25,29,32
96,2,3,5,5,8,9,12,14,16,18,21,22,25,26,30,33,35,38,45,47
97,2,4,4,4,6,6,7,7,7,9,14,15,18,21,24,31,32,35,37,38
98,3,4,5,5,5,5,9,10,10,13,17,18,21,24,25,29,32,34,37,41
99,2,4,5,5,5,7,8,12,15,18,18,20,23,29,32,33,37,43,45,49
