position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
0,1,1,2,3,3,3,4,4,5,8,9,9,10,11,15,16,20,23,27,28
1,2,3,4,4,5,6,9,10,10,12,15,15,15,16,20,22,26,28,29,30
2,1,2,2,4,5,7,8,9,11,15,16,18,20,20,21,21,22,24,25,26
3,2,3,3,3,3,3,5,5,6,8,10,15,17,18,23,25,25,30,30,32
4,1,1,1,2,2,2,2,5,6,7,9,13,16,21,26,28,31,31,35,40
5,1,3,3,3,3,3,6,10,13,15,16,16,20,21,25,29,31,34,41,42
6,2,3,4,5,5,8,9,10,12,15,17,18,21,24,28,30,35,38,39,46
7,3,7,7,7,8,10,15,15,19,26,29,31,32,39,41,42,47,55,63,69
8,1,2,2,4,5,6,8,10,12,15,22,26,30,33,39,43,47,53,57,64
9,3,3,3,3,4,4,6,11,19,21,22,26,33,38,39,45,47,54,55,60
10,2,4,6,7,7,11,11,15,18,22,24,29,35,41,46,53,58,62,65,68
11,4,4,7,7,11,11,14,17,19,22,25,31,36,40,44,48,52,56,61,67
12,3,4,4,10,13,15,19,22,27,29,31,34,39,43,47,52,57,59,64,67
13,1,1,5,6,8,11,14,16,21,24,25,30,31,32,32,34,35,36,39,42
14,3,4,6,6,6,6,9,11,11,12,12,13,16,18,20,22,26,29,32,36
15,2,3,4,5,6,6,8,9,12,13,16,19,20,21,22,23,26,28,29,31
16,2,2,3,4,4,5,5,7,10,11,12,14,14,15,16,17,17,20,23,25
17,5,6,6,6,7,8,11,13,13,16,19,26,31,32,34,40,42,43,48,51
18,3,6,9,10,11,16,21,22,23,26,28,32,34,34,34,38,39,45,50,52
19,2,2,2,2,2,3,4,4,6,8,11,12,15,18,19,21,24,25,30,34
20,3,4,5,7,9,11,14,17,19,20,21,24,25,28,30,34,36,40,45,49
21,1,2,3,4,5,7,11,15,18,20,25,26,29,33,38,45,50,51,53,62
22,1,1,1,1,1,4,6,9,14,16,18,21,23,25,27,28,32,37,38,45
23,2,3,4,6,7,9,12,14,16,20,22,23,25,29,31,34,36,40,41,48
24,4,4,6,6,9,10,11,13,17,18,20,22,24,31,36,38,46,48,52,60
25,0,1,1,4,5,7,8,10,11,15,15,19,24,28,32,38,46,50,58,67
26,1,1,4,6,7,7,11,14,16,20,24,28,30,33,39,46,52,60,67,75
27,2,3,4,9,11,13,14,16,18,20,25,27,29,35,41,46,53,60,66,71
28,1,2,6,8,9,12,12,17,18,20,20,25,27,29,31,35,37,43,47,54
29,3,5,6,7,7,8,9,11,14,21,22,26,30,31,33,34,38,42,46,51
30,2,2,3,5,5,6,7,9,13,16,19,23,32,36,43,46,51,56,60,67
31,1,4,5,5,6,8,13,18,25,25,28,30,36,40,43,48,53,58,65,70
32,1,1,3,5,5,5,5,7,9,13,15,21,31,35,38,43,48,57,63,72
33,3,3,3,3,6,8,9,14,15,18,20,24,26,28,32,35,42,49,54,64
34,1,1,1,1,1,1,2,5,5,7,8,10,11,15,18,20,24,27,32,35
35,4,5,10,14,15,18,25,28,32,33,35,36,37,38,40,42,46,50,57,60
36,1,2,2,2,2,3,4,5,7,10,14,17,22,29,33,37,38,41,50,54
37,1,2,2,2,4,5,6,8,11,18,22,27,31,35,40,49,53,59,67,73
38,2,3,3,5,5,6,7,11,13,18,24,34,38,41,46,51,54,60,63,71
39,1,1,1,2,3,4,4,5,6,6,13,14,19,28,34,38,43,48,57,63
40,2,2,3,4,8,8,9,11,12,12,15,15,23,28,33,39,42,48,52,56
41,2,3,3,4,7,8,10,13,14,16,18,19,20,23,26,30,33,40,41,45
42,1,2,2,4,5,5,6,8,9,11,13,16,18,23,25,25,29,36,40,47
43,1,2,4,5,5,7,9,12,15,20,24,27,33,35,37,38,42,43,47,50
44,2,2,2,3,4,7,12,15,19,23,24,26,26,29,32,37,47,56,63,77
45,4,6,10,12,17,17,19,22,24,29,31,31,35,40,42,49,58,61,67,74
46,2,2,4,4,4,4,4,4,7,11,15,16,18,18,20,23,27,30,34,38
47,2,5,6,8,9,12,16,16,20,26,32,36,40,47,48,48,49,56,62,68
48,4,5,8,9,9,13,14,15,15,17,19,21,22,24,27,28,32,36,42,50
49,3,4,6,6,7,8,8,11,13,17,20,21,23,26,27,29,33,36,40,45
50,3,4,5,5,5,9,9,11,12,14,15,20,23,25,28,29,32,34,37,39
51,3,5,6,7,8,10,10,13,14,17,22,23,28,32,35,39,45,58,67,74
52,2,5,6,7,7,9,12,13,16,20,22,24,29,33,36,37,39,43,49,58
53,2,2,2,2,4,7,9,14,17,21,23,27,31,36,39,42,49,55,64,70
54,3,3,3,3,3,6,7,12,17,17,19,22,23,26,29,35,45,49,53,56
55,2,3,3,3,3,4,6,11,15,16,17,20,24,27,31,38,45,48,49,51
56,3,3,3,4,5,6,7,8,11,13,16,17,19,22,27,30,34,41,46,49
57,2,3,6,7,9,9,11,12,14,15,18,20,22,24,26,33,34,38,44,48
58,2,2,2,4,6,9,12,13,14,18,21,22,23,25,29,31,35,41,44,50
