position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
0,1,2,4,4,5,8,9,9,11,12,12,12,13,14,18,19,20,22,27,30
1,2,2,2,3,5,7,7,9,11,15,16,21,22,22,25,27,31,33,34,35
2,1,2,2,2,4,5,5,7,9,9,10,12,17,17,19,25,27,28,29,36
3,1,1,3,7,9,9,10,11,12,12,16,18,22,26,30,32,38,47,51,55
4,1,1,2,4,4,6,9,9,10,13,13,15,18,21,23,26,31,36,42,44
5,0,1,2,3,3,4,5,6,7,10,11,11,14,15,20,22,23,24,26,32
6,4,4,5,5,8,9,11,15,19,19,21,21,22,27,31,33,37,38,38,39
7,4,4,4,6,6,8,8,8,9,9,10,12,14,16,18,19,21,23,26,30
8,2,2,3,6,9,10,12,14,16,17,17,19,21,23,25,26,27,28,31,35
9,2,4,4,5,5,5,6,6,7,10,12,13,13,16,16,18,20,21,22,24
10,2,2,3,3,3,5,6,7,9,10,12,15,15,15,18,19,22,22,24,27
11,2,2,2,3,5,7,7,8,11,12,15,17,20,21,22,23,25,29,30,33
12,2,2,2,2,3,4,4,4,5,6,8,8,8,8,9,11,20,22,23,24
13,2,3,3,3,3,4,4,8,10,14,17,18,21,22,25,28,33,34,39,44
14,1,1,4,4,4,7,9,9,9,11,14,18,24,26,27,29,32,32,32,38
15,2,2,3,3,3,3,4,5,6,10,10,12,14,17,20,24,25,26,30,32
16,1,2,2,3,4,5,6,6,9,11,12,13,14,18,18,22,24,24,26,27
17,3,3,4,4,4,4,4,4,4,5,5,6,9,10,10,10,15,19,21,25
18,1,1,1,1,2,2,2,2,2,2,2,2,3,6,7,8,9,9,11,13
19,4,4,4,5,6,6,6,9,11,13,16,19,22,24,28,35,40,42,43,45
20,1,1,1,2,2,2,5,6,6,9,10,12,14,15,17,18,20,21,25,30
21,1,1,1,1,1,1,2,5,8,8,8,9,12,14,16,18,19,19,21,21
22,1,1,1,1,1,1,2,3,10,16,18,20,26,28,31,33,37,41,44,45
23,0,2,4,5,5,8,9,12,15,20,24,26,29,33,35,37,41,42,44,46
24,2,2,3,3,4,5,8,9,9,12,15,16,20,22,22,24,28,30,34,37
25,2,2,3,3,3,5,5,5,11,12,13,15,18,20,22,26,27,29,29,32
26,3,3,3,4,4,6,6,9,10,10,11,15,16,17,19,19,22,23,25,27
27,2,2,3,4,6,7,8,10,11,11,12,14,14,15,17,20,23,25,27,31
28,2,2,2,3,3,4,5,8,9,9,11,12,12,12,12,12,13,14,16,18
29,1,2,3,3,5,7,8,10,12,14,16,19,23,23,25,27,30,31,32,34
30,1,4,6,7,8,8,11,12,14,15,17,19,24,26,29,30,33,36,39,42
31,2,2,2,3,5,6,8,10,11,12,12,14,17,22,27,30,32,34,36,38
32,1,1,2,2,3,4,5,6,9,15,19,23,26,27,28,33,36,38,43,43
33,2,3,4,5,5,6,7,11,16,18,23,24,24,28,30,33,35,38,43,45
34,3,4,5,5,6,8,12,13,15,19,20,20,22,25,25,27,29,33,36,37
35,5,5,5,5,6,8,10,11,11,12,12,12,14,16,19,19,22,26,30,34
36,4,4,4,5,5,6,6,6,8,10,12,13,14,16,17,21,23,25,28,32
37,2,2,2,3,3,4,5,6,6,6,8,8,8,8,12,14,16,20,23,27
38,2,2,5,5,8,8,8,10,10,11,13,16,20,22,24,27,28,30,33,34
39,1,2,3,4,4,7,8,9,9,10,12,13,14,18,18,22,26,27,30,32
40,3,3,3,4,4,7,8,9,13,16,18,20,21,23,26,28,30,31,33,41
41,2,2,2,2,5,7,7,9,10,11,14,17,17,20,23,24,25,26,28,36
42,1,2,4,4,4,5,7,7,8,11,12,15,19,20,23,25,25,29,31,34
43,2,2,3,5,7,7,8,11,13,16,18,22,28,30,32,35,36,36,40,44
44,2,3,3,3,3,4,5,6,6,7,9,13,16,19,21,22,24,27,30,31
45,1,1,2,3,4,4,5,5,5,6,6,6,7,9,14,16,17,18,18,20
46,2,2,2,2,2,3,3,4,5,6,6,6,6,7,7,8,10,10,11,11
47,1,1,2,3,3,3,4,4,5,5,6,8,9,10,11,13,15,17,17,17
48,1,1,1,1,1,1,2,3,3,3,3,4,5,5,5,6,9,10,11,13
49,1,1,2,2,2,3,3,4,5,7,7,7,8,8,12,14,15,18,21,26
50,1,1,1,2,4,4,6,8,8,9,9,12,14,17,21,24,28,32,38,40
51,1,2,2,2,2,6,9,10,13,17,23,26,27,32,37,42,47,50,51,54
52,1,3,4,6,6,6,6,9,14,15,19,25,26,26,31,32,33,36,41,47
53,2,2,3,4,4,5,5,6,8,10,11,17,19,21,23,27,29,32,35,40
54,1,1,1,1,1,1,1,1,3,4,4,6,6,6,9,11,12,13,16,18
55,1,1,1,1,1,2,2,2,4,4,4,4,7,8,9,12,12,14,15,15
56,1,2,2,2,2,2,2,2,2,3,4,5,6,8,9,9,10,11,12,14
57,1,1,1,1,1,1,1,1,1,2,4,4,4,5,7,7,7,7,8,9
58,4,4,5,5,5,5,5,5,5,5,7,7,7,9,9,9,9,12,15,17
59,2,3,3,4,5,6,7,7,9,9,9,11,12,14,15,15,15,19,19,21
60,1,1,1,3,3,5,7,8,9,10,10,10,12,14,15,16,16,18,19,20
61,2,2,2,3,3,4,5,6,6,6,8,10,12,13,14,16,16,17,19,19
62,1,1,1,1,1,2,2,2,2,3,5,7,11,13,17,18,21,21,21,21
63,4,4,4,5,5,5,6,7,9,11,11,14,14,14,15,16,17,18,19,19
64,2,2,2,3,4,4,4,5,5,8,8,8,11,13,15,19,21,22,22,23
65,2,2,2,2,3,5,9,9,9,9,9,11,12,16,18,20,21,22,23,24
