position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
74,1,2,2,3,3,3,3,3,4,5,7,7,9,10,12,12,12,14,14,14
75,1,1,2,3,3,3,3,5,9,9,11,11,12,13,13,13,15,16,16,18
76,2,4,4,6,9,9,9,11,11,13,13,14,14,14,15,16,19,21,21,23
77,1,1,1,1,2,3,4,4,6,7,7,7,9,9,9,9,10,10,10,12
78,1,1,1,4,6,8,8,8,8,8,9,11,12,14,15,20,20,21,21,22
79,1,2,2,4,5,6,6,6,7,7,8,8,9,10,10,11,14,14,14,16
80,2,3,3,4,4,5,8,9,10,12,13,14,15,16,17,18,20,21,27,33
81,2,2,3,3,3,3,3,4,5,7,7,7,8,8,9,11,16,17,21,23
82,1,2,2,2,2,3,3,3,3,4,5,5,5,5,5,5,5,10,11,11
83,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,6,7,8,8,9
84,2,2,2,2,2,2,2,2,2,2,4,4,4,4,5,6,6,8,8,10
85,3,3,3,4,4,4,4,6,6,6,8,8,9,9,9,10,10,10,11,12
86,1,1,1,1,1,2,2,4,6,6,6,6,6,6,7,8,9,10,10,12
87,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,6,9,9,10
88,0,0,0,1,2,2,3,3,5,9,12,13,14,16,16,17,18,19,20,23
89,1,1,1,1,2,3,6,7,8,8,9,10,12,16,21,22,24,26,27,28
90,2,2,2,2,2,3,4,4,4,5,5,8,8,10,13,16,18,23,26,28
91,1,1,1,3,3,3,4,4,5,5,5,6,7,10,13,16,16,18,21,22
92,2,2,3,4,5,5,8,9,10,10,12,14,17,18,20,20,22,23,23,23
93,1,2,2,3,3,4,5,5,6,7,7,7,7,9,10,14,15,17,18,21
94,1,1,2,4,4,4,4,4,5,6,6,6,7,10,11,12,14,18,19,23
95,1,2,2,2,5,5,7,7,7,10,12,13,15,19,23,26,29,30,32,34
96,3,3,3,3,3,4,4,4,4,7,7,9,9,13,15,18,20,21,22,25
97,1,2,2,3,3,3,4,4,4,6,7,9,9,14,15,17,21,23,26,29
98,3,3,3,3,6,7,9,11,11,12,14,15,15,17,17,17,20,21,21,26
99,3,3,3,5,6,6,8,10,12,13,14,16,17,18,19,22,22,24,25,28
