position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
0,1,1,2,3,3,3,3,5,7,9,10,11,12,12,13,16,19,23,26,29
1,2,4,5,8,9,9,11,11,13,14,15,16,17,17,19,21,23,26,28,32
2,2,3,3,4,4,4,5,6,7,7,8,10,10,10,10,12,12,14,15,19
3,1,3,3,3,4,4,5,7,7,7,7,7,9,10,10,10,10,11,12,15
4,1,1,1,1,2,3,3,4,4,8,8,10,14,14,16,17,17,19,20,22
5,1,1,2,2,3,6,6,6,7,8,11,13,14,16,18,18,21,22,27,34
6,1,1,2,2,2,2,2,4,5,5,6,7,8,9,9,9,12,16,18,22
7,1,3,4,4,5,8,9,11,12,13,14,15,19,19,21,22,25,26,28,32
8,1,2,2,2,2,3,4,6,7,14,19,21,22,23,24,26,28,31,35,35
9,3,3,4,5,5,5,5,5,5,7,8,8,10,13,15,18,20,22,25,30
10,1,1,1,1,1,3,6,6,10,11,12,13,13,15,16,20,26,28,28,34
11,1,1,4,4,6,7,8,9,12,15,16,18,21,27,31,36,38,41,46,49
12,4,4,4,5,6,7,8,8,10,12,12,12,12,14,19,23,31,32,35,38
13,2,3,4,5,6,7,10,11,12,18,19,21,23,24,24,28,29,36,39,46
14,1,3,4,4,5,7,9,9,10,11,12,15,18,23,26,30,34,41,42,46
15,1,1,4,4,5,8,10,12,13,14,18,19,24,29,31,36,38,42,46,55
16,1,2,2,2,2,4,6,7,12,13,14,16,18,18,20,23,25,26,29,36
17,1,1,1,1,1,2,4,6,6,7,11,16,17,18,21,23,25,28,32,40
18,2,2,2,2,2,2,3,3,3,5,5,6,7,11,17,25,28,30,31,38
19,2,3,4,4,4,4,4,4,5,5,5,7,12,15,19,23,27,29,36,40
20,1,3,3,3,3,5,5,5,6,7,9,10,11,12,16,17,21,29,33,37
21,2,2,2,2,3,3,4,6,7,8,11,14,17,19,20,24,30,32,33,36
22,1,1,3,4,6,6,7,9,10,11,13,14,15,17,20,22,25,30,32,36
23,4,4,4,5,5,5,7,8,9,11,14,17,26,29,29,30,30,33,34,39
24,2,2,2,3,6,6,6,6,6,6,8,10,15,17,20,25,33,36,39,43
25,2,2,2,2,4,4,6,10,10,12,13,13,14,22,27,32,38,41,45,50
26,3,4,4,4,4,5,5,7,8,12,13,14,15,17,20,22,25,30,33,34
27,2,3,3,3,4,5,6,8,9,10,10,11,15,19,22,24,26,27,30,33
28,2,2,4,5,5,7,8,9,9,11,12,14,14,17,21,24,28,29,29,31
29,1,1,1,1,1,1,1,2,4,5,5,6,8,14,15,17,19,23,24,28
