position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
0,2,3,4,5,9,9,13,18,19,23,27,33,37,45,55,66,71,83,89,107
1,2,3,5,8,9,16,17,24,31,39,49,57,69,82,88,96,107,114,131,154
2,3,8,14,19,28,36,39,54,62,71,85,95,114,127,141,149,156,165,175,194
3,3,4,7,9,13,17,25,27,32,39,47,61,72,83,95,105,114,128,142,156
4,2,3,3,5,12,15,19,24,29,35,41,48,56,61,69,77,82,95,100,109
5,4,5,6,8,16,21,25,28,34,40,41,46,51,61,69,77,89,100,108,117
6,2,5,6,9,14,16,18,26,33,37,40,45,50,59,67,79,84,94,110,119
7,3,4,8,13,22,28,31,39,46,51,58,61,70,80,92,105,122,136,146,159
8,2,3,5,6,10,11,16,18,27,35,44,61,69,73,84,94,108,118,129,144
9,2,2,2,3,7,9,11,14,15,18,23,25,27,31,40,47,54,64,73,85
10,1,3,4,6,7,7,8,9,12,15,19,22,26,35,39,45,56,68,80,91
11,2,2,4,5,5,7,9,11,15,19,23,27,30,36,44,47,50,60,72,82
12,3,3,4,4,4,4,4,5,6,10,11,13,15,16,20,22,23,25,31,37
13,1,3,5,5,5,8,10,12,15,18,23,25,30,34,37,37,42,45,47,50
14,1,1,2,3,5,6,7,8,9,12,15,15,15,19,24,25,33,37,42,46
15,1,1,3,5,6,6,7,7,11,12,14,17,22,25,27,31,35,42,44,48
16,2,2,3,3,4,5,7,8,9,10,11,13,18,22,25,30,37,44,47,52
17,2,5,5,9,12,16,17,20,21,23,26,28,30,33,34,37,42,46,46,51
18,1,3,3,5,5,7,8,9,11,12,16,17,22,23,27,33,37,42,46,55
19,2,3,3,5,7,9,10,13,15,16,17,23,26,29,33,35,37,43,44,51
20,3,3,5,5,6,7,12,12,13,14,15,17,24,33,35,37,39,46,49,57
21,1,1,1,1,2,2,7,7,8,12,15,17,22,24,31,41,49,54,58,66
22,1,2,2,5,6,6,8,14,18,22,26,27,29,38,44,54,65,71,78,90
23,2,2,3,3,3,6,9,11,13,14,18,21,27,33,41,48,55,63,70,81
24,3,4,5,8,9,12,17,17,20,24,33,36,44,47,51,55,63,71,75,82
25,2,3,5,6,8,13,19,31,43,49,58,62,71,81,91,100,112,125,135,149
26,2,6,7,7,13,19,22,32,46,57,72,81,96,106,120,135,153,164,176,187
27,3,8,11,15,22,29,43,53,70,87,100,112,128,138,151,163,180,184,194,211
28,4,7,8,12,16,21,29,37,45,55,65,77,87,99,118,124,129,141,153,166
29,3,8,11,13,18,23,30,39,51,55,66,76,88,100,109,115,132,148,163,178
30,2,4,8,10,13,16,21,26,27,35,38,46,55,66,75,83,92,105,121,136
31,1,3,3,5,6,7,10,13,17,19,19,24,35,39,52,63,68,77,84,92
32,5,6,11,13,18,21,31,39,51,58,69,75,81,85,91,94,100,105,107,109
33,5,6,6,8,11,15,17,18,19,19,21,22,25,29,36,43,49,55,59,66
34,3,4,5,6,6,11,15,19,21,24,29,30,35,38,43,47,49,53,61,67
35,3,6,10,12,20,24,28,32,35,39,44,50,53,57,62,67,74,84,98,104
36,3,4,5,7,8,11,14,18,20,21,27,29,35,41,45,50,58,67,72,84
37,1,5,5,6,9,11,13,16,26,28,31,33,35,38,42,46,52,53,57,68
38,3,4,7,8,11,13,19,21,23,30,36,42,50,57,61,63,74,79,87,97
39,3,5,6,8,9,10,12,18,20,27,39,43,51,55,61,69,72,90,96,102
40,2,2,3,9,13,18,19,25,27,30,35,49,60,63,65,71,76,78,86,93
41,3,3,3,4,7,10,11,18,24,33,37,46,48,51,57,59,64,68,71,84
42,4,7,8,10,15,18,21,26,32,41,50,64,74,81,90,95,103,109,121,130
43,1,1,1,2,4,9,15,19,26,30,35,47,57,67,71,87,91,96,106,117
44,1,3,3,4,9,11,17,18,23,28,33,35,42,50,57,67,70,80,87,93
45,2,2,3,3,6,8,12,16,21,32,37,43,52,57,67,73,76,82,87,94
46,1,2,4,6,7,11,14,16,19,26,32,39,43,53,57,67,70,74,81,90
47,5,5,5,7,10,13,15,19,24,27,27,27,30,32,36,40,43,52,62,73
48,2,4,5,5,9,13,13,14,17,18,19,19,23,30,35,37,40,45,53,58
49,4,4,4,4,7,9,15,17,22,23,27,32,33,37,39,48,51,58,62,68
50,3,4,7,9,9,11,14,16,17,18,19,21,23,26,31,34,41,44,54,54
51,4,7,8,9,10,11,15,16,20,22,28,30,36,37,38,42,48,53,54,64
52,5,6,7,8,9,9,11,12,14,16,18,21,24,36,40,48,57,65,74,78
53,4,7,8,9,12,15,16,20,21,25,28,30,39,46,52,58,61,65,69,76
54,1,2,5,5,7,11,16,19,22,26,29,34,36,41,45,49,52,57,61,68
55,3,5,9,9,11,13,14,19,24,28,35,40,45,50,54,58,63,69,75,83
56,2,3,5,7,7,10,13,17,18,23,30,32,38,45,49,53,61,68,72,76
