position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
0,91.0,469.0,1305.0,2315.0,3747.0,5501.0,8552.0,11837.0,15814.0,21886.0,29345.0,37884.0,47552.0,57223.0,67943.0,80042.0,93859.0,107790.0,120904.0,134362.0
1,27.0,264.0,895.0,1642.0,2593.0,3655.0,5185.0,6967.0,9305.0,12857.0,15970.0,18465.0,21094.0,23585.0,25998.0,28574.0,31810.0,35756.0,40388.0,45457.0
2,23.0,133.0,363.0,707.0,1150.0,1536.0,2309.0,3354.0,4946.0,7147.0,9734.0,12370.0,15624.0,18661.0,22092.0,26015.0,30808.0,35790.0,41098.0,47055.0
3,1.0,65.0,311.0,597.0,1417.0,2288.0,3120.0,4134.0,5521.0,7055.0,8552.0,10439.0,13314.0,15945.0,18944.0,22240.0,24957.0,27922.0,31757.0,36167.0
4,99.0,317.0,864.0,1757.0,3135.0,4658.0,6444.0,8389.0,10773.0,13543.0,16310.0,19160.0,22634.0,26520.0,30695.0,35264.0,40159.0,46161.0,53919.0,62817.0
5,12.0,114.0,474.0,1122.0,2264.0,4119.0,6826.0,9129.0,12044.0,15834.0,20232.0,24106.0,27882.0,31496.0,36624.0,42493.0,48166.0,53903.0,59992.0,66545.0
6,152.0,729.0,1767.0,3199.0,5157.0,6898.0,8999.0,11052.0,13248.0,16071.0,19017.0,22451.0,26822.0,31814.0,36889.0,41891.0,47161.0,52608.0,58783.0,65712.0
7,116.0,634.0,1805.0,3040.0,4378.0,5774.0,7837.0,10390.0,13695.0,17852.0,21824.0,25890.0,31034.0,36123.0,41223.0,46344.0,52117.0,58621.0,65692.0,73461.0
8,567.0,1991.0,3828.0,5952.0,8660.0,11230.0,14579.0,17819.0,20974.0,24439.0,28296.0,32319.0,36594.0,40612.0,44780.0,49024.0,53809.0,59122.0,65105.0,72359.0
9,407.0,1560.0,3831.0,6997.0,11615.0,15945.0,21489.0,26826.0,32961.0,40454.0,48151.0,56158.0,64843.0,73645.0,83975.0,95656.0,108161.0,120534.0,132631.0,145551.0
10,89.0,229.0,575.0,1359.0,2749.0,4326.0,7326.0,12334.0,18275.0,24248.0,29682.0,35898.0,43637.0,51825.0,61293.0,70772.0,79598.0,88048.0,97334.0,107199.0
11,7.0,30.0,84.0,219.0,552.0,1228.0,2441.0,3644.0,4842.0,6694.0,9095.0,12346.0,16960.0,22244.0,28619.0,35530.0,43042.0,50501.0,58331.0,66853.0
12,22.0,116.0,251.0,427.0,781.0,1394.0,2359.0,3207.0,4070.0,5103.0,6206.0,7913.0,12119.0,17643.0,24510.0,32351.0,41458.0,50506.0,60109.0,70286.0
13,17.0,197.0,633.0,1326.0,2506.0,4255.0,6730.0,9244.0,11929.0,14780.0,17766.0,21189.0,24730.0,28664.0,33941.0,40450.0,50436.0,64017.0,81943.0,105466.0
14,350.0,892.0,1362.0,1838.0,2413.0,2867.0,3467.0,4374.0,6012.0,8661.0,11450.0,14478.0,18008.0,23328.0,35876.0,54225.0,78052.0,107661.0,142414.0,185285.0
15,247.0,1123.0,2347.0,3342.0,4323.0,5195.0,6209.0,7307.0,8743.0,10626.0,13528.0,16939.0,20349.0,23474.0,28765.0,37636.0,51000.0,69579.0,92522.0,120750.0
16,25.0,241.0,891.0,1860.0,3354.0,4792.0,7053.0,9464.0,12250.0,15430.0,18684.0,22017.0,25787.0,29594.0,33698.0,37981.0,42601.0,47335.0,52581.0,58819.0
17,115.0,555.0,1958.0,3714.0,5494.0,6793.0,8389.0,10148.0,12072.0,14023.0,15721.0,17759.0,20186.0,22453.0,24900.0,27416.0,30063.0,32578.0,35454.0,39638.0
18,13.0,43.0,353.0,1165.0,2228.0,3185.0,4688.0,6161.0,8000.0,10049.0,11752.0,13302.0,15064.0,17259.0,20620.0,25798.0,31455.0,36773.0,42358.0,48769.0
19,11.0,149.0,515.0,1069.0,1899.0,2694.0,4207.0,5698.0,7371.0,9307.0,11549.0,13593.0,15604.0,17898.0,21368.0,25941.0,31791.0,37957.0,44729.0,52802.0
20,76.0,356.0,922.0,1495.0,2160.0,2917.0,3956.0,4966.0,6023.0,7201.0,8751.0,10439.0,12316.0,14758.0,18367.0,22416.0,27132.0,32453.0,38521.0,45726.0
