position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
0,2.0,9.0,31.0,229.0,439.0,590.0,827.0,1156.0,1630.0,2421.0,3273.0,3835.0,4839.0,6423.0,8737.0,11821.0,15652.0,20157.0,26159.0,33894.0
1,42.0,241.0,516.0,799.0,1347.0,2018.0,3096.0,4440.0,5984.0,7788.0,9779.0,12109.0,14950.0,17944.0,20978.0,23869.0,27422.0,32110.0,38010.0,44955.0
2,4.0,12.0,25.0,67.0,202.0,313.0,546.0,839.0,1248.0,1957.0,2720.0,3982.0,6228.0,8864.0,11580.0,14321.0,17586.0,21373.0,26160.0,32050.0
3,30.0,161.0,405.0,724.0,1319.0,1887.0,2674.0,3471.0,4293.0,5170.0,6597.0,8494.0,11129.0,14353.0,18356.0,23061.0,28326.0,34116.0,40635.0,47811.0
4,323.0,1217.0,2923.0,5151.0,8136.0,11088.0,15620.0,21017.0,27611.0,35530.0,44012.0,52793.0,62508.0,72668.0,84908.0,98270.0,114042.0,130268.0,147502.0,167472.0
5,860.0,3204.0,7076.0,11873.0,18364.0,24872.0,33865.0,43370.0,54409.0,67314.0,81111.0,96251.0,114838.0,134045.0,154981.0,176371.0,199512.0,223197.0,248593.0,277432.0
6,755.0,3001.0,7157.0,12728.0,20724.0,28749.0,40176.0,52393.0,66518.0,82966.0,100300.0,118552.0,140327.0,162422.0,187387.0,213821.0,244051.0,279363.0,321528.0,371748.0
7,947.0,3559.0,8107.0,13986.0,22046.0,30151.0,41304.0,52779.0,65772.0,81074.0,98289.0,120601.0,152554.0,189174.0,232742.0,280989.0,337245.0,399652.0,469973.0,552110.0
8,89.0,379.0,882.0,1725.0,3551.0,7162.0,15052.0,26764.0,43390.0,66444.0,94521.0,126676.0,168199.0,213777.0,267943.0,327681.0,395367.0,468225.0,549421.0,642914.0
9,151.0,1075.0,4280.0,9772.0,19188.0,30228.0,47272.0,67045.0,91372.0,122126.0,156733.0,195919.0,244732.0,295810.0,353985.0,416441.0,485903.0,559555.0,640840.0,733888.0
10,1013.0,3453.0,7933.0,14188.0,23280.0,33360.0,48559.0,65731.0,87083.0,113860.0,143278.0,175434.0,214707.0,256377.0,304450.0,356837.0,414642.0,475309.0,541870.0,617062.0
11,82.0,692.0,2745.0,6322.0,12094.0,18394.0,27938.0,38809.0,52252.0,68890.0,86638.0,105423.0,128017.0,151789.0,178601.0,206879.0,236443.0,265289.0,294904.0,325339.0
12,38.0,115.0,243.0,533.0,990.0,1520.0,2424.0,3603.0,5132.0,7157.0,9334.0,11633.0,14862.0,19472.0,26347.0,34365.0,43559.0,53672.0,65396.0,78993.0
13,1.0,5.0,89.0,303.0,684.0,974.0,1530.0,2162.0,3082.0,4501.0,7110.0,10981.0,16333.0,22636.0,29959.0,37512.0,45016.0,52257.0,59134.0,66842.0
14,52.0,650.0,2223.0,4476.0,7423.0,9813.0,12748.0,15715.0,18660.0,21506.0,24155.0,26877.0,30110.0,33399.0,36998.0,40754.0,44943.0,49774.0,55280.0,61709.0
15,128.0,435.0,1341.0,3149.0,6141.0,9413.0,14696.0,20486.0,27072.0,34787.0,42439.0,49620.0,56955.0,64474.0,72540.0,80712.0,89417.0,98063.0,106914.0,116199.0
16,343.0,1327.0,3250.0,5649.0,8517.0,11340.0,15748.0,20017.0,24898.0,31163.0,38011.0,45602.0,54698.0,64132.0,74586.0,85527.0,97967.0,111652.0,127739.0,147368.0
17,707.0,2332.0,4705.0,7567.0,11370.0,15069.0,20425.0,26991.0,34793.0,43715.0,52948.0,62840.0,75147.0,87351.0,99984.0,112895.0,126813.0,140482.0,154496.0,169708.0
18,677.0,2523.0,5594.0,9560.0,15286.0,20809.0,29025.0,38075.0,48828.0,61788.0,75425.0,89673.0,105698.0,121804.0,139605.0,158678.0,179616.0,201473.0,225095.0,251045.0
19,589.0,2474.0,6306.0,11775.0,19087.0,25930.0,35332.0,45880.0,58370.0,73503.0,89258.0,105892.0,126218.0,148602.0,174303.0,201228.0,230533.0,260220.0,291505.0,327066.0
20,810.0,3097.0,7231.0,12367.0,19329.0,26933.0,38276.0,51052.0,66295.0,84378.0,103563.0,124065.0,148472.0,172843.0,199271.0,226939.0,256973.0,287214.0,320091.0,356418.0
21,307.0,1203.0,2583.0,4204.0,6385.0,8559.0,11809.0,16318.0,22477.0,30409.0,38884.0,47727.0,58633.0,69431.0,81108.0,92975.0,105909.0,119012.0,133273.0,149551.0
22,4.0,33.0,133.0,272.0,500.0,791.0,1374.0,2200.0,3363.0,5092.0,7043.0,9273.0,12216.0,14850.0,17063.0,19168.0,21570.0,24417.0,27894.0,32584.0
23,92.0,262.0,415.0,554.0,729.0,881.0,1389.0,2077.0,3081.0,4533.0,6385.0,8593.0,11589.0,14706.0,18112.0,21981.0,26783.0,31943.0,37170.0,43169.0
24,385.0,1234.0,2392.0,3502.0,4658.0,5832.0,7764.0,9544.0,11474.0,13672.0,15899.0,18167.0,20842.0,23545.0,26292.0,29310.0,32581.0,36052.0,40583.0,46401.0
25,0.0,3.0,48.0,248.0,599.0,940.0,1696.0,2579.0,3717.0,5073.0,6627.0,8218.0,10164.0,12043.0,14254.0,16807.0,19957.0,23278.0,26944.0,32399.0
26,33.0,93.0,261.0,456.0,674.0,992.0,1644.0,2359.0,3354.0,4491.0,5655.0,7027.0,8807.0,10544.0,12658.0,15299.0,19800.0,23890.0,28248.0,33664.0
27,104.0,469.0,1164.0,2172.0,3716.0,5368.0,7450.0,9250.0,11217.0,13352.0,15556.0,17616.0,19990.0,22467.0,25170.0,28172.0,31856.0,36511.0,42044.0,48508.0
28,2.0,23.0,63.0,173.0,310.0,538.0,884.0,1296.0,1851.0,2430.0,3022.0,3661.0,4536.0,5609.0,6750.0,8050.0,9891.0,11924.0,14474.0,18079.0
29,15.0,218.0,702.0,1121.0,1579.0,1983.0,2591.0,3367.0,4358.0,6008.0,7608.0,9294.0,11446.0,13764.0,16499.0,19331.0,22332.0,25437.0,28767.0,32615.0
30,28.0,133.0,266.0,466.0,779.0,1079.0,1446.0,1920.0,2840.0,4135.0,5531.0,7238.0,9428.0,11855.0,14591.0,17561.0,21115.0,24839.0,29093.0,34508.0
31,12.0,201.0,557.0,929.0,1445.0,2008.0,2852.0,3900.0,5429.0,7229.0,9047.0,11129.0,13701.0,16269.0,19056.0,21870.0,24811.0,27735.0,31323.0,36965.0
32,1.0,5.0,145.0,431.0,621.0,753.0,915.0,1381.0,2215.0,2827.0,3499.0,4159.0,5586.0,7872.0,10858.0,13861.0,17299.0,21152.0,25853.0,31437.0
33,730.0,2521.0,4977.0,7711.0,11236.0,14673.0,19158.0,23925.0,28904.0,33881.0,38121.0,42016.0,47126.0,51631.0,56190.0,61307.0,67282.0,73692.0,80594.0,88100.0
34,385.0,1698.0,3972.0,6895.0,11077.0,15386.0,21864.0,29434.0,39270.0,51584.0,64834.0,76628.0,87103.0,96809.0,107201.0,116626.0,126378.0,135686.0,145103.0,154686.0
35,214.0,1198.0,2946.0,4947.0,6673.0,7786.0,9832.0,11249.0,12115.0,13069.0,15877.0,22049.0,31736.0,42401.0,53988.0,65869.0,78866.0,91342.0,104050.0,117470.0
36,23.0,40.0,64.0,91.0,133.0,200.0,373.0,766.0,1104.0,1458.0,1873.0,2323.0,2977.0,3769.0,4633.0,5614.0,6835.0,8421.0,11424.0,15874.0
37,4.0,36.0,119.0,254.0,493.0,798.0,1379.0,2089.0,3050.0,4283.0,5725.0,6960.0,8582.0,10265.0,12254.0,14290.0,16691.0,19236.0,21842.0,24926.0
38,10.0,44.0,90.0,139.0,266.0,348.0,572.0,888.0,1240.0,1754.0,2646.0,4279.0,6308.0,8193.0,10439.0,12788.0,15329.0,17812.0,20443.0,23584.0
39,5.0,38.0,125.0,247.0,422.0,619.0,890.0,1150.0,1415.0,1874.0,2525.0,4183.0,6341.0,8188.0,10441.0,12533.0,14786.0,17180.0,20154.0,23779.0
40,55.0,264.0,720.0,1346.0,2327.0,3225.0,4563.0,5850.0,7236.0,8700.0,10146.0,11856.0,14871.0,17990.0,21077.0,24321.0,27659.0,30864.0,34347.0,38117.0
41,8.0,41.0,140.0,225.0,339.0,492.0,779.0,1088.0,1641.0,2314.0,2940.0,4055.0,5810.0,7969.0,10444.0,12448.0,14488.0,16718.0,20246.0,24513.0
42,1.0,15.0,104.0,262.0,701.0,965.0,1501.0,2295.0,3348.0,4981.0,7394.0,9298.0,11759.0,14593.0,17539.0,20192.0,23142.0,26751.0,31288.0,36916.0
43,13.0,57.0,463.0,1073.0,1887.0,2681.0,3643.0,4442.0,6094.0,8437.0,10772.0,12638.0,14775.0,17051.0,19627.0,22238.0,25083.0,27983.0,31262.0,35052.0
44,25.0,94.0,225.0,481.0,924.0,1579.0,3445.0,5532.0,7321.0,8978.0,10509.0,12276.0,14629.0,16928.0,19598.0,22390.0,25504.0,29419.0,34024.0,38973.0
45,290.0,1112.0,2589.0,4254.0,5962.0,7179.0,8627.0,10164.0,11907.0,13904.0,15903.0,18108.0,20673.0,22972.0,25391.0,27992.0,31504.0,36078.0,41818.0,49180.0
46,399.0,1458.0,3271.0,5442.0,8031.0,10337.0,13130.0,15557.0,18403.0,22297.0,26875.0,32153.0,38956.0,45810.0,53354.0,60952.0,69168.0,77951.0,87553.0,98124.0
47,250.0,1220.0,3222.0,6348.0,10904.0,14996.0,20759.0,26913.0,33580.0,41006.0,47978.0,55443.0,64742.0,74506.0,85496.0,97365.0,110710.0,124573.0,139975.0,157384.0
48,53.0,283.0,1195.0,2760.0,5000.0,7043.0,9716.0,12321.0,15287.0,18737.0,22388.0,25950.0,29922.0,33912.0,38117.0,42626.0,47655.0,53107.0,59584.0,66872.0
49,85.0,574.0,1680.0,3225.0,5226.0,7014.0,9409.0,11961.0,15124.0,19236.0,23804.0,28553.0,34086.0,39566.0,45614.0,52048.0,59188.0,66951.0,75524.0,85118.0
50,41.0,430.0,1607.0,3280.0,5703.0,7960.0,11434.0,14890.0,18692.0,22972.0,27288.0,31892.0,37551.0,43164.0,49358.0,55932.0,63279.0,70749.0,78676.0,87683.0
51,15.0,86.0,250.0,691.0,1344.0,2033.0,2967.0,3922.0,4934.0,6106.0,7262.0,8447.0,9931.0,11777.0,13905.0,16242.0,18743.0,21480.0,25009.0,29173.0
52,17.0,155.0,570.0,1109.0,1612.0,1979.0,2499.0,3011.0,3595.0,4426.0,5373.0,6418.0,7593.0,9069.0,11179.0,13905.0,17231.0,19804.0,22494.0,25980.0
53,6.0,84.0,259.0,450.0,712.0,912.0,1247.0,2113.0,2553.0,2864.0,3117.0,3332.0,3621.0,3886.0,4238.0,4609.0,5215.0,6716.0,8393.0,10599.0
54,34.0,240.0,499.0,973.0,1806.0,2695.0,3789.0,4852.0,6114.0,7622.0,9308.0,11187.0,13394.0,15727.0,18496.0,21338.0,24377.0,27715.0,31481.0,36031.0
55,16.0,156.0,562.0,1031.0,1619.0,2240.0,3493.0,5101.0,7170.0,9559.0,11551.0,13696.0,16643.0,19513.0,22699.0,26383.0,30520.0,34727.0,39899.0,46353.0
56,38.0,314.0,1257.0,2495.0,3674.0,4530.0,5497.0,6474.0,7790.0,9745.0,11872.0,14391.0,17609.0,21214.0,25648.0,30359.0,35444.0,41155.0,47798.0,54985.0
57,101.0,313.0,777.0,1262.0,1781.0,2123.0,2479.0,2875.0,3392.0,4121.0,5329.0,7223.0,9914.0,13798.0,18663.0,23214.0,28233.0,33073.0,38148.0,43865.0
58,104.0,475.0,1110.0,1863.0,2931.0,4252.0,6304.0,8999.0,13038.0,19042.0,25761.0,32324.0,39519.0,45905.0,52226.0,58281.0,64492.0,70708.0,77480.0,85121.0
59,13.0,45.0,427.0,1197.0,1923.0,2624.0,4536.0,6530.0,8828.0,11576.0,14382.0,17240.0,20722.0,24136.0,27901.0,31894.0,36145.0,40808.0,45845.0,51771.0
60,18.0,59.0,197.0,370.0,550.0,854.0,2067.0,4224.0,7069.0,10248.0,13294.0,16726.0,20453.0,24013.0,27962.0,32609.0,38014.0,44144.0,50873.0,58640.0
61,266.0,1269.0,3468.0,6342.0,10606.0,15115.0,21933.0,29943.0,40029.0,52552.0,66010.0,80734.0,98725.0,117816.0,139439.0,163435.0,192673.0,226442.0,266173.0,313746.0
62,2432.0,9526.0,22960.0,40942.0,66855.0,93554.0,130599.0,171057.0,218473.0,274031.0,332728.0,396684.0,474146.0,552944.0,639676.0,730174.0,826864.0,924171.0,1026458.0,1137883.0
63,3570.0,13338.0,30609.0,52988.0,84472.0,116305.0,159916.0,206070.0,258407.0,318083.0,378331.0,438629.0,507492.0,575208.0,648325.0,722847.0,802317.0,882361.0,964643.0,1053349.0
64,941.0,3632.0,8730.0,16141.0,27447.0,39558.0,56693.0,75070.0,96462.0,121779.0,148300.0,176263.0,208462.0,240292.0,274539.0,309895.0,347501.0,385721.0,426307.0,471184.0
65,124.0,592.0,1790.0,3777.0,6923.0,10431.0,15938.0,22578.0,30453.0,39994.0,50435.0,61843.0,75655.0,90092.0,106478.0,124140.0,143695.0,164589.0,188018.0,215346.0
66,7.0,56.0,192.0,458.0,884.0,1308.0,2028.0,3021.0,4304.0,6054.0,8591.0,12150.0,17517.0,23922.0,31827.0,40418.0,50418.0,61757.0,75144.0,90993.0
67,55.0,195.0,399.0,634.0,931.0,1300.0,1919.0,2804.0,4046.0,6055.0,8226.0,10551.0,13094.0,15490.0,18142.0,21077.0,24472.0,28487.0,33485.0,38837.0
68,142.0,435.0,798.0,1143.0,1604.0,2138.0,2952.0,3980.0,5224.0,6744.0,8489.0,10616.0,13200.0,15876.0,18981.0,22382.0,26623.0,31037.0,35935.0,41451.0
69,365.0,1383.0,2475.0,3645.0,5347.0,7245.0,9810.0,12867.0,16320.0,20372.0,24559.0,28572.0,33140.0,37893.0,43024.0,48217.0,53642.0,58776.0,63992.0,69679.0
70,225.0,774.0,1591.0,2408.0,3356.0,4342.0,5595.0,6991.0,8717.0,10882.0,13927.0,17469.0,21827.0,26455.0,31796.0,37526.0,43920.0,50887.0,58870.0,68165.0
71,746.0,2858.0,6390.0,10407.0,16272.0,22006.0,29624.0,37006.0,45085.0,54196.0,63002.0,71913.0,82116.0,92486.0,103111.0,113813.0,124951.0,136053.0,147949.0,161848.0
72,1.0,23.0,225.0,554.0,946.0,1464.0,2287.0,3512.0,6313.0,11676.0,18920.0,27393.0,38208.0,49787.0,63212.0,78059.0,95017.0,112873.0,132592.0,154771.0
73,39.0,87.0,160.0,284.0,573.0,1120.0,2152.0,3307.0,4605.0,6284.0,8116.0,10069.0,12543.0,15357.0,18571.0,22091.0,26074.0,30351.0,35100.0,40808.0
74,268.0,785.0,1626.0,2583.0,3726.0,5002.0,6561.0,8178.0,10192.0,12657.0,15185.0,17999.0,21296.0,24784.0,28595.0,32579.0,37088.0,42216.0,47860.0,54044.0
75,12.0,88.0,365.0,649.0,1089.0,1615.0,2784.0,4090.0,5619.0,7452.0,9690.0,12503.0,15895.0,19466.0,24014.0,29447.0,35906.0,42988.0,50499.0,59253.0
76,19.0,173.0,753.0,1611.0,2945.0,4415.0,6729.0,9115.0,11824.0,14942.0,18325.0,22029.0,26401.0,30742.0,35698.0,41070.0,47218.0,54009.0,61450.0,69984.0
77,70.0,295.0,784.0,1541.0,2628.0,3815.0,5896.0,8483.0,11784.0,15929.0,20082.0,24334.0,29392.0,34480.0,40252.0,46707.0,53981.0,61640.0,70248.0,80358.0
78,32.0,134.0,345.0,612.0,965.0,1289.0,1766.0,2536.0,3365.0,4514.0,5986.0,7823.0,9859.0,12136.0,15042.0,18722.0,23469.0,29083.0,35428.0,42811.0
79,549.0,2421.0,5501.0,8717.0,12196.0,15166.0,19255.0,22892.0,25928.0,28563.0,30687.0,32885.0,35676.0,39816.0,43521.0,46966.0,51121.0,56053.0,61295.0,67335.0
80,13.0,101.0,339.0,694.0,1236.0,1822.0,2917.0,4213.0,5989.0,8315.0,10816.0,13618.0,17270.0,21276.0,26024.0,30999.0,36839.0,43441.0,51208.0,60906.0
81,74.0,188.0,308.0,591.0,1088.0,1729.0,2819.0,4161.0,5845.0,7951.0,10274.0,12876.0,16195.0,19886.0,24154.0,28594.0,33530.0,38832.0,44901.0,52509.0
82,0.0,59.0,244.0,537.0,1014.0,1561.0,2440.0,3579.0,5072.0,7354.0,10339.0,13562.0,17165.0,20646.0,24537.0,28432.0,33011.0,38143.0,44169.0,51233.0
83,1.0,21.0,161.0,560.0,1138.0,1731.0,2616.0,3722.0,5222.0,6972.0,8775.0,10866.0,13479.0,16461.0,20130.0,24321.0,28933.0,33844.0,39397.0,45852.0
84,107.0,389.0,653.0,922.0,1322.0,1760.0,2428.0,3328.0,4490.0,6096.0,7955.0,9995.0,12618.0,15666.0,19311.0,23181.0,28563.0,35172.0,43766.0,54820.0
85,61.0,320.0,864.0,1421.0,2033.0,2549.0,3439.0,4493.0,5866.0,7610.0,9801.0,12463.0,15899.0,19644.0,23647.0,27762.0,33280.0,39256.0,46107.0,54495.0
