position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
0,683.0,2527.0,5397.0,8965.0,13743.0,18196.0,23466.0,28073.0,32783.0,37948.0,43151.0,48836.0,55441.0,61910.0,68957.0,76805.0,86088.0,96305.0,107437.0,120125.0
1,807.0,3000.0,6350.0,10405.0,16081.0,21868.0,29324.0,36696.0,44398.0,52318.0,60265.0,68348.0,77378.0,86438.0,96708.0,106951.0,117612.0,128117.0,139196.0,151516.0
2,19.0,90.0,273.0,628.0,1876.0,3797.0,7487.0,12318.0,18360.0,25704.0,33361.0,41650.0,52909.0,66455.0,83638.0,104130.0,125788.0,145699.0,164799.0,183187.0
3,14.0,58.0,137.0,246.0,465.0,794.0,1360.0,1999.0,2813.0,3917.0,5140.0,6528.0,7702.0,8572.0,9517.0,11095.0,14091.0,18674.0,25158.0,38691.0
4,29.0,120.0,245.0,426.0,834.0,1258.0,2155.0,3339.0,4777.0,6434.0,8178.0,10140.0,12374.0,14631.0,17099.0,19944.0,22947.0,25975.0,29406.0,33402.0
5,4.0,32.0,111.0,200.0,401.0,628.0,1013.0,1391.0,1807.0,2314.0,2937.0,3704.0,4748.0,6050.0,8391.0,11569.0,15676.0,20503.0,26432.0,34336.0
6,8.0,16.0,33.0,64.0,492.0,934.0,1254.0,1516.0,1977.0,2642.0,3343.0,4046.0,4780.0,5484.0,6443.0,7510.0,8730.0,10037.0,12326.0,18711.0
7,18.0,339.0,1267.0,2315.0,3643.0,4750.0,6174.0,7579.0,9180.0,11111.0,13162.0,15216.0,17542.0,19769.0,22130.0,24612.0,27471.0,30864.0,34267.0,39590.0
8,0.0,9.0,52.0,154.0,543.0,935.0,1214.0,1447.0,1659.0,1843.0,2121.0,2410.0,2730.0,3194.0,3771.0,4274.0,5086.0,6881.0,9080.0,11648.0
9,38.0,230.0,544.0,1148.0,1742.0,2169.0,2620.0,2994.0,3348.0,3712.0,4022.0,4270.0,4732.0,5586.0,7329.0,9538.0,12452.0,15990.0,19592.0,22778.0
10,8.0,36.0,135.0,319.0,714.0,1237.0,1963.0,2837.0,3867.0,4844.0,5809.0,6941.0,8713.0,11007.0,13894.0,17066.0,20365.0,23327.0,26539.0,30383.0
11,19.0,168.0,512.0,1061.0,2009.0,2915.0,3894.0,4682.0,5416.0,6290.0,7574.0,9097.0,10941.0,12667.0,14530.0,16352.0,18144.0,20425.0,22963.0,25987.0
12,101.0,338.0,750.0,1204.0,1945.0,2889.0,4571.0,6516.0,8787.0,11279.0,13396.0,15293.0,17499.0,19689.0,22006.0,24365.0,27103.0,29878.0,32885.0,36232.0
13,201.0,869.0,2177.0,3686.0,5708.0,7846.0,10945.0,14116.0,17820.0,22999.0,30095.0,38635.0,50260.0,61870.0,73741.0,84057.0,93423.0,101446.0,109316.0,117301.0
14,409.0,1408.0,2899.0,4679.0,7083.0,9275.0,12416.0,17091.0,23058.0,29046.0,34348.0,39659.0,46261.0,53458.0,62328.0,72801.0,85654.0,99269.0,113904.0,129715.0
15,1381.0,5199.0,12036.0,21944.0,37684.0,55018.0,79903.0,105443.0,132080.0,158821.0,181256.0,201456.0,221448.0,239023.0,257436.0,276534.0,297323.0,318867.0,339219.0,359201.0
16,11.0,33.0,105.0,435.0,1147.0,1938.0,3408.0,5514.0,8206.0,12014.0,17661.0,25296.0,35330.0,45823.0,57821.0,72755.0,90963.0,111312.0,133920.0,159225.0
17,7.0,34.0,84.0,159.0,343.0,781.0,1408.0,2153.0,3006.0,4059.0,5068.0,6022.0,7125.0,8392.0,10164.0,11984.0,13992.0,15981.0,18261.0,21141.0
18,7.0,45.0,109.0,189.0,311.0,450.0,690.0,1018.0,1466.0,2516.0,3998.0,5855.0,8248.0,10811.0,13780.0,17860.0,22884.0,28208.0,33902.0,40929.0
19,291.0,1082.0,2895.0,5630.0,9819.0,14369.0,21017.0,27979.0,36807.0,47488.0,58760.0,70440.0,84605.0,99194.0,115559.0,132979.0,153551.0,174345.0,196249.0,220071.0
20,1063.0,4064.0,9415.0,16351.0,26499.0,37663.0,53530.0,69699.0,87851.0,108954.0,130963.0,154521.0,182616.0,210961.0,242119.0,274687.0,309292.0,344612.0,382502.0,423866.0
21,1344.0,5058.0,11742.0,20619.0,33423.0,46832.0,65598.0,85764.0,109032.0,136204.0,164211.0,193756.0,228825.0,264383.0,303852.0,345472.0,390104.0,435782.0,484488.0,539022.0
22,1464.0,5501.0,12700.0,22728.0,37905.0,54510.0,78401.0,103464.0,132141.0,164939.0,198880.0,235061.0,278257.0,322238.0,371068.0,423074.0,478909.0,536560.0,598182.0,666314.0
23,1876.0,7387.0,17392.0,30243.0,48868.0,68580.0,96295.0,125859.0,160725.0,202238.0,248064.0,299116.0,360656.0,422157.0,488566.0,555862.0,624657.0,692842.0,763420.0,837843.0
24,1666.0,5952.0,13587.0,23912.0,38882.0,53641.0,72728.0,91568.0,113101.0,137653.0,162868.0,189420.0,220864.0,254940.0,295938.0,341229.0,393969.0,453272.0,524647.0,607420.0
25,271.0,1368.0,4152.0,8651.0,16246.0,24856.0,37713.0,52053.0,69692.0,90805.0,113040.0,136449.0,164292.0,192879.0,224337.0,256896.0,291994.0,327493.0,365175.0,406830.0
26,901.0,3604.0,8367.0,14403.0,22657.0,30879.0,41871.0,53327.0,66399.0,81531.0,97227.0,113643.0,133160.0,153006.0,175052.0,198193.0,222815.0,247453.0,273159.0,300492.0
27,907.0,3561.0,8452.0,15020.0,24534.0,34190.0,47370.0,60893.0,75918.0,92900.0,109580.0,126042.0,144514.0,161596.0,179132.0,196923.0,215445.0,233736.0,252864.0,273149.0
28,1025.0,3911.0,9203.0,16154.0,25795.0,35300.0,48022.0,61042.0,75332.0,90995.0,105956.0,120892.0,138083.0,154896.0,172762.0,190527.0,207786.0,224510.0,241489.0,259169.0
29,686.0,2670.0,6614.0,11877.0,18887.0,25409.0,33685.0,41966.0,50921.0,60871.0,71205.0,81907.0,94539.0,106854.0,120038.0,133794.0,147922.0,162343.0,177456.0,192048.0
30,180.0,778.0,2067.0,3814.0,6436.0,9642.0,14549.0,20244.0,27015.0,35290.0,44055.0,53408.0,64398.0,75771.0,88289.0,101424.0,115625.0,130571.0,146189.0,163418.0
