position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
0,936.0,3740.0,9159.0,16396.0,26806.0,37379.0,52037.0,67710.0,86136.0,108169.0,131813.0,156740.0,185701.0,214817.0,246931.0,281154.0,318360.0,357201.0,399239.0,445929.0
1,959.0,3807.0,8654.0,14947.0,23892.0,32858.0,45202.0,58685.0,74750.0,93733.0,113845.0,135221.0,160837.0,186561.0,214958.0,245492.0,278690.0,312986.0,349997.0,391853.0
2,660.0,2551.0,5982.0,10988.0,18925.0,27574.0,39263.0,51113.0,64375.0,80124.0,96996.0,115151.0,136964.0,158864.0,182780.0,207824.0,235129.0,263408.0,293784.0,328590.0
3,382.0,1154.0,2298.0,3857.0,6086.0,8272.0,11337.0,15302.0,20318.0,25937.0,31831.0,39463.0,49866.0,62466.0,77547.0,93233.0,110354.0,128761.0,149101.0,174356.0
4,153.0,532.0,1156.0,1859.0,2739.0,3995.0,6133.0,9004.0,13054.0,18049.0,23504.0,30332.0,39768.0,50196.0,61608.0,73775.0,89034.0,106310.0,126066.0,150029.0
5,370.0,1292.0,2815.0,4606.0,6735.0,8974.0,12287.0,16298.0,21686.0,28641.0,36186.0,43851.0,53481.0,64426.0,77806.0,93425.0,111538.0,131875.0,155104.0,182874.0
6,40.0,321.0,964.0,2241.0,4688.0,7183.0,11060.0,15324.0,20666.0,27940.0,36928.0,47613.0,61559.0,77277.0,95760.0,116763.0,141229.0,168140.0,199172.0,236260.0
7,632.0,2253.0,4637.0,7335.0,10976.0,14902.0,21058.0,28917.0,39612.0,53269.0,68601.0,86169.0,108743.0,133325.0,162269.0,193679.0,228353.0,264838.0,304866.0,350036.0
8,167.0,1403.0,4881.0,9834.0,17734.0,26089.0,38888.0,53533.0,71249.0,93165.0,116993.0,142627.0,173563.0,205374.0,241127.0,279061.0,320849.0,364742.0,412859.0,467459.0
9,1737.0,6426.0,13886.0,22719.0,35275.0,48565.0,66898.0,86607.0,109131.0,135488.0,163130.0,192699.0,228192.0,265105.0,306774.0,351147.0,399724.0,450614.0,505759.0,567103.0
10,2031.0,7707.0,17898.0,31035.0,49841.0,68851.0,93899.0,119352.0,148123.0,180835.0,214772.0,250733.0,292599.0,334579.0,381549.0,431816.0,485796.0,541627.0,601792.0,669773.0
11,2163.0,8188.0,18971.0,33360.0,53880.0,74833.0,103856.0,134830.0,170527.0,212493.0,255136.0,299304.0,350044.0,399300.0,452935.0,508643.0,567488.0,627747.0,692193.0,764414.0
12,2728.0,10379.0,23379.0,39825.0,62860.0,86546.0,119362.0,154369.0,194524.0,241278.0,289280.0,339494.0,398374.0,456794.0,519359.0,583074.0,650983.0,719524.0,791578.0,870707.0
13,2588.0,9851.0,22917.0,40064.0,64519.0,89490.0,124045.0,160808.0,202795.0,251860.0,304079.0,360019.0,426331.0,493008.0,566521.0,643211.0,724179.0,805963.0,890072.0,980344.0
14,2641.0,9958.0,22984.0,40361.0,65164.0,91075.0,126552.0,164334.0,207472.0,257863.0,310667.0,366445.0,432556.0,499235.0,572968.0,650317.0,732698.0,816925.0,906634.0,1004842.0
15,2971.0,11286.0,26051.0,45407.0,73073.0,101497.0,140591.0,182236.0,229907.0,285389.0,343207.0,403796.0,474842.0,545548.0,623148.0,704486.0,790358.0,877444.0,970278.0,1072196.0
16,3409.0,12710.0,29455.0,51544.0,83203.0,115828.0,160897.0,208397.0,262564.0,325429.0,390869.0,460020.0,541855.0,623960.0,714013.0,808574.0,909508.0,1013671.0,1125348.0,1247324.0
17,3485.0,13058.0,29828.0,51846.0,83446.0,116211.0,161543.0,209528.0,264186.0,327356.0,393337.0,463014.0,545778.0,628970.0,720204.0,815918.0,917417.0,1020636.0,1131000.0,1252688.0
18,3439.0,12903.0,29585.0,50702.0,81010.0,112751.0,156741.0,203296.0,256684.0,318370.0,382691.0,451212.0,532456.0,613169.0,701661.0,793789.0,891499.0,990888.0,1097047.0,1214065.0
19,3183.0,11901.0,27319.0,47461.0,75565.0,104241.0,144241.0,187274.0,236675.0,294008.0,353667.0,416841.0,491155.0,565444.0,647092.0,732070.0,822318.0,914161.0,1011909.0,1117656.0
20,2675.0,10392.0,24201.0,42495.0,68482.0,95113.0,131527.0,169774.0,213630.0,264823.0,318054.0,373728.0,439209.0,504084.0,575210.0,648795.0,725660.0,802243.0,883544.0,972731.0
21,2537.0,9526.0,21804.0,37991.0,61324.0,85643.0,119033.0,154462.0,194608.0,240388.0,287765.0,337944.0,397172.0,455686.0,518453.0,582442.0,648159.0,714813.0,786599.0,867668.0
22,2063.0,7859.0,18311.0,32111.0,52539.0,74380.0,104799.0,136873.0,173387.0,215949.0,260467.0,306698.0,360675.0,415243.0,475018.0,537577.0,604868.0,673342.0,746381.0,826996.0
23,1655.0,6361.0,14781.0,25437.0,40167.0,55266.0,76307.0,99519.0,126235.0,157022.0,189298.0,223923.0,264957.0,306101.0,352100.0,401302.0,454513.0,509510.0,568630.0,634463.0
24,580.0,2568.0,6965.0,13423.0,23347.0,33735.0,47848.0,62973.0,80436.0,100694.0,121763.0,144260.0,171399.0,198916.0,229476.0,262198.0,298144.0,336488.0,379365.0,428327.0
25,597.0,2394.0,5752.0,9706.0,14219.0,18746.0,25272.0,33477.0,43812.0,56269.0,69613.0,84350.0,102108.0,120579.0,141757.0,164820.0,190380.0,217044.0,246452.0,280294.0
26,17.0,71.0,230.0,473.0,924.0,1479.0,2687.0,4695.0,7576.0,11595.0,16425.0,22552.0,30684.0,39969.0,51126.0,64646.0,80784.0,99026.0,120909.0,147863.0
27,318.0,1246.0,2797.0,4678.0,7226.0,9810.0,13504.0,17112.0,21128.0,25860.0,30628.0,35914.0,42322.0,48584.0,55554.0,63764.0,74422.0,87560.0,103697.0,123502.0
28,106.0,456.0,984.0,1771.0,2880.0,3887.0,5720.0,8443.0,12205.0,16953.0,22284.0,28299.0,35885.0,43404.0,52372.0,63248.0,75883.0,88923.0,101701.0,116121.0
29,249.0,917.0,1601.0,2270.0,3366.0,4780.0,7025.0,9759.0,13128.0,18043.0,23699.0,30113.0,38215.0,47259.0,58117.0,70119.0,82629.0,94821.0,108003.0,123593.0
30,295.0,908.0,1930.0,3342.0,5396.0,7819.0,11660.0,16113.0,21681.0,28567.0,36331.0,45109.0,56041.0,67794.0,81114.0,94957.0,111202.0,129014.0,149214.0,172313.0
31,411.0,1625.0,3802.0,6582.0,10676.0,14660.0,20268.0,26589.0,34165.0,43588.0,53862.0,65467.0,79397.0,93156.0,108319.0,127054.0,155580.0,190789.0,233519.0,285198.0
32,679.0,2484.0,5613.0,9591.0,15129.0,20721.0,28680.0,37373.0,48239.0,61626.0,75874.0,90742.0,108303.0,125905.0,145085.0,165944.0,192213.0,224721.0,265108.0,320062.0
33,446.0,1579.0,3463.0,6016.0,9809.0,13661.0,18948.0,24937.0,32470.0,41899.0,52376.0,64041.0,78587.0,93818.0,111339.0,130602.0,151665.0,174257.0,199136.0,227049.0
34,457.0,1779.0,4172.0,7556.0,12886.0,18697.0,27129.0,36507.0,47613.0,60998.0,75305.0,90111.0,107285.0,124664.0,143435.0,162351.0,180287.0,197879.0,217151.0,238323.0
35,245.0,925.0,2122.0,3860.0,6659.0,9840.0,14775.0,20890.0,28370.0,37310.0,46747.0,56801.0,68962.0,81771.0,96439.0,112011.0,128962.0,146703.0,166126.0,187442.0
36,126.0,510.0,1215.0,2205.0,3558.0,4688.0,6386.0,8454.0,11002.0,14498.0,18055.0,22242.0,27478.0,33201.0,40265.0,48352.0,57510.0,67571.0,78451.0,90576.0
37,2.0,54.0,241.0,609.0,1356.0,2413.0,3836.0,4985.0,6526.0,9406.0,12777.0,15892.0,19257.0,22877.0,27048.0,31525.0,36508.0,41396.0,46622.0,52453.0
38,542.0,2538.0,5190.0,7207.0,10165.0,12718.0,15863.0,18904.0,22225.0,26039.0,30597.0,35862.0,42073.0,48432.0,55532.0,62862.0,70439.0,77978.0,85688.0,94407.0
39,113.0,470.0,1057.0,1832.0,2871.0,3861.0,5165.0,6523.0,8107.0,10323.0,14224.0,19029.0,25225.0,31490.0,38245.0,44596.0,50418.0,55511.0,60640.0,65978.0
40,115.0,394.0,755.0,1102.0,1526.0,1995.0,2708.0,3340.0,4296.0,5523.0,6895.0,8323.0,10091.0,11774.0,13398.0,14890.0,16332.0,17960.0,20041.0,22500.0
41,137.0,420.0,829.0,1366.0,2182.0,3038.0,4199.0,5566.0,7242.0,9281.0,11376.0,13799.0,16315.0,18701.0,21240.0,23596.0,25869.0,28514.0,32098.0,37337.0
42,142.0,464.0,982.0,1743.0,3009.0,4248.0,6119.0,8611.0,12197.0,16844.0,21566.0,26542.0,32088.0,37659.0,43618.0,49820.0,57009.0,64798.0,73579.0,83553.0
43,213.0,789.0,1831.0,3197.0,5108.0,6937.0,9938.0,13604.0,17449.0,21629.0,25275.0,28969.0,33772.0,39871.0,46417.0,53375.0,61580.0,72404.0,85698.0,101344.0
44,247.0,1027.0,2472.0,4291.0,6940.0,9575.0,13448.0,17721.0,22891.0,29223.0,36133.0,43107.0,51247.0,59062.0,66263.0,73833.0,83303.0,93989.0,105836.0,120047.0
