file,position,overlap_area
Reslice of 1,93,315.0
Reslice of 1,94,713.0
Reslice of 1,95,375.0
Reslice of 1,96,535.0
Reslice of 1,97,671.0
Reslice of 1,98,368.0
Reslice of 1,99,1683.0
Reslice of 4,0,680.0
Reslice of 4,1,412.0
Reslice of 4,2,182.0
Reslice of 4,3,132.0
Reslice of 4,4,451.0
Reslice of 4,5,207.0
Reslice of 4,6,556.0
Reslice of 4,7,546.0
Reslice of 4,8,2636.0
Reslice of 4,9,2228.0
Reslice of 4,10,326.0
Reslice of 4,11,48.0
Reslice of 4,12,152.0
Reslice of 4,13,321.0
Reslice of 4,14,1071.0
Reslice of 4,15,852.0
Reslice of 4,16,417.0
Reslice of 4,17,950.0
Reslice of 4,18,70.0
Reslice of 4,19,263.0
Reslice of 4,20,337.0
Reslice of 4,21,421.0
Reslice of 4,22,578.0
Reslice of 4,23,3271.0
Reslice of 4,24,472.0
Reslice of 4,25,560.0
Reslice of 4,26,53.0
Reslice of 4,27,39.0
Reslice of 4,28,148.0
Reslice of 4,29,378.0
Reslice of 4,30,1574.0
Reslice of 4,31,112.0
Reslice of 4,32,196.0
Reslice of 4,33,243.0
Reslice of 4,34,1002.0
Reslice of 4,35,2646.0
Reslice of 4,36,382.0
Reslice of 4,37,43.0
Reslice of 4,38,925.0
Reslice of 4,39,704.0
Reslice of 4,40,921.0
Reslice of 4,41,1759.0
Reslice of 4,42,1304.0
Reslice of 4,43,193.0
Reslice of 4,44,1270.0
Reslice of 4,45,805.0
Reslice of 4,46,484.0
Reslice of 4,47,478.0
Reslice of 4,48,1473.0
Reslice of 4,49,692.0
Reslice of 4,50,816.0
Reslice of 4,51,1962.0
Reslice of 4,52,290.0
Reslice of 4,53,254.0
Reslice of 4,54,31.0
Reslice of 4,55,142.0
Reslice of 4,56,112.0
Reslice of 4,57,755.0
Reslice of 4,58,189.0
Reslice of 4,59,189.0
Reslice of 4,60,92.0
Reslice of 4,61,650.0
Reslice of 4,62,253.0
Reslice of 4,63,0.0
Reslice of 4,64,263.0
Reslice of 4,65,200.0
Reslice of 4,66,257.0
Reslice of 4,67,474.0
Reslice of 4,68,242.0
Reslice of 4,69,669.0
Reslice of 4,70,2184.0
Reslice of 4,71,473.0
Reslice of 4,72,1204.0
Reslice of 4,73,438.0
Reslice of 4,74,217.0
Reslice of 4,75,650.0
Reslice of 4,76,151.0
Reslice of 4,77,455.0
Reslice of 4,78,1363.0
Reslice of 4,79,1855.0
Reslice of 4,80,2048.0
Reslice of 4,81,182.0
Reslice of 4,82,17118.0
Reslice of 4,83,23852.0
Reslice of 4,84,13011.0
Reslice of 4,85,3302.0
Reslice of 4,86,3120.0
