file,position,overlap_area
Reslice of 1,86,2637.0
Reslice of 1,87,17258.0
Reslice of 1,88,10132.0
Reslice of 1,89,2329.0
Reslice of 1,90,8972.0
Reslice of 1,91,5815.0
Reslice of 1,92,4934.0
Reslice of 1,93,5940.0
Reslice of 1,94,5028.0
Reslice of 1,95,7821.0
Reslice of 1,96,6103.0
Reslice of 1,97,8683.0
Reslice of 1,98,10379.0
Reslice of 1,99,16985.0
Reslice of 4,0,6298.0
Reslice of 4,1,4068.0
Reslice of 4,2,1722.0
Reslice of 4,3,2553.0
Reslice of 4,4,5185.0
Reslice of 4,5,4932.0
Reslice of 4,6,7485.0
Reslice of 4,7,6314.0
Reslice of 4,8,12221.0
Reslice of 4,9,17499.0
Reslice of 4,10,4999.0
Reslice of 4,11,1547.0
Reslice of 4,12,1676.0
Reslice of 4,13,4943.0
Reslice of 4,14,3036.0
Reslice of 4,15,5516.0
Reslice of 4,16,5402.0
Reslice of 4,17,7231.0
Reslice of 4,18,3599.0
Reslice of 4,19,3114.0
Reslice of 4,20,3194.0
Reslice of 4,21,2450.0
Reslice of 4,22,6046.0
Reslice of 4,23,25228.0
Reslice of 4,24,2890.0
Reslice of 4,25,2770.0
Reslice of 4,26,1503.0
Reslice of 4,27,1455.0
Reslice of 4,28,1405.0
Reslice of 4,29,3529.0
Reslice of 4,30,9279.0
Reslice of 4,31,2189.0
Reslice of 4,32,1544.0
Reslice of 4,33,1046.0
Reslice of 4,34,4261.0
Reslice of 4,35,18739.0
Reslice of 4,36,2971.0
Reslice of 4,37,1700.0
Reslice of 4,38,8556.0
Reslice of 4,39,11574.0
Reslice of 4,40,13524.0
Reslice of 4,41,16897.0
Reslice of 4,42,10344.0
Reslice of 4,43,4901.0
Reslice of 4,44,8296.0
Reslice of 4,45,7085.0
Reslice of 4,46,3880.0
Reslice of 4,47,5680.0
Reslice of 4,48,10330.0
Reslice of 4,49,8256.0
Reslice of 4,50,7253.0
Reslice of 4,51,10968.0
Reslice of 4,52,5086.0
Reslice of 4,53,2491.0
